입출금구분,계좌주,금융기관,계좌번호,거래일자,거래시간,거래종류,취급점,임금적요,입금액,출금적요,출금액,거래후잔액,상대은행,상대예금주,상대계좌번호,단말번호,IP주소,MAC주소,비고1,비고2
출금,남지연000,농협,120-300-3100,2024-03-13,17:26:42,이체,여의도지점,,0,생활비,656327,9417646,토스뱅크,변서연076,196-376-3176,ATM5804,203.0.113.40,F1:F6:A9:34:A1:71,,
출금,양준석070,농협,190-370-3170,2024-04-24,07:22:09,이체,여의도지점,,0,생활비,647904,8894198,국민은행,양준석022,142-322-3122,ATM9156,203.0.113.27,BF:63:B3:D1:99:F8,,
출금,안채원062,토스뱅크,182-362-3162,2024-02-26,03:35:27,이체,강남지점,,0,생활비,186179,13999624,하나은행,마준호011,131-311-3111,ATM2039,203.0.113.139,29:3E:43:75:71:64,,
출금,황미경067,하나은행,187-367-3167,2024-05-15,02:32:43,이체,강남지점,,0,생활비,720750,12650620,토스뱅크,양준석006,126-306-3106,ATM3127,203.0.113.73,91:CD:5E:57:DD:21,,
출금,유태경072,신한은행,192-372-3172,2024-01-27,18:09:52,이체,종로지점,,0,생활비,155918,1527079,카카오뱅크,황미경019,139-319-3119,ATM4450,203.0.113.159,0E:02:5B:B6:16:20,,
출금,서유진,우리은행,109-209-3009,2024-02-10,13:44:48,이체,강남지점,,0,집금,1000000,1354181,우리은행,박민수,102-202-3002,ATM1308,203.0.113.199,F7:DC:15:64:37:10,,
출금,노시우057,국민은행,177-357-3157,2024-04-12,20:32:29,이체,강남지점,,0,생활비,582739,11068114,우리은행,노시우073,193-373-3173,ATM4957,203.0.113.85,B2:CB:D9:DD:7E:68,,
출금,류하준018,하나은행,138-318-3118,2024-01-17,04:22:33,이체,종로지점,,0,생활비,764722,7239410,신한은행,류하준002,122-302-3102,ATM6427,203.0.113.195,6D:7A:F0:F4:F6:7B,,
출금,유태경008,국민은행,128-308-3108,2024-07-18,06:43:27,이체,종로지점,,0,생활비,127122,414180,카카오뱅크,마준호075,195-375-3175,ATM8712,203.0.113.206,58:AF:5A:B0:12:32,,
출금,전성호004,하나은행,124-304-3104,2024-08-26,15:21:02,이체,종로지점,,0,생활비,230593,4857066,국민은행,송우진001,121-301-3101,ATM9589,203.0.113.206,0F:CB:7B:5F:87:8E,,
출금,임수빈,카카오뱅크,111-211-3011,2024-02-20,13:29:36,이체,종로지점,,0,생활비,127129,12222652,하나은행,마준호011,131-311-3111,ATM5753,203.0.113.43,6E:55:C5:FC:0D:33,,
출금,유태경008,국민은행,128-308-3108,2024-03-10,22:56:29,이체,역삼지점,,0,생활비,602997,13793784,농협,고은비021,141-321-3121,ATM5441,203.0.113.49,09:DA:FC:F1:FE:77,,
출금,안채원030,신한은행,150-330-3130,2024-04-24,13:44:38,이체,여의도지점,,0,생활비,112674,5758160,토스뱅크,변서연076,196-376-3176,ATM5270,203.0.113.135,70:6D:F9:F8:F7:43,,
출금,남지연000,농협,120-300-3100,2024-02-09,04:07:24,이체,여의도지점,,0,생활비,441306,12034860,토스뱅크,고은비069,189-369-3169,ATM5891,203.0.113.133,2D:1E:00:27:20:54,,
출금,황미경019,카카오뱅크,139-319-3119,2024-01-02,08:36:41,이체,역삼지점,,0,생활비,481820,12699196,신한은행,유태경072,192-372-3172,ATM8808,203.0.113.150,AE:52:34:AF:BE:A5,,
출금,변서연076,토스뱅크,196-376-3176,2024-04-15,23:05:03,이체,역삼지점,,0,생활비,42805,6436241,우리은행,류하준066,186-366-3166,ATM3504,203.0.113.60,E1:0C:B9:12:C4:E8,,
출금,도하린074,하나은행,194-374-3174,2024-10-03,16:32:22,이체,여의도지점,,0,생활비,93306,9226217,신한은행,변서연044,164-344-3144,ATM8207,203.0.113.136,5F:07:AE:F6:5C:7C,,
출금,양준석070,농협,190-370-3170,2024-04-10,05:29:15,이체,종로지점,,0,생활비,340365,11699356,카카오뱅크,송우진033,153-333-3133,ATM6423,203.0.113.208,3C:91:E6:4F:86:1B,,
출금,양준석054,카카오뱅크,174-354-3154,2024-03-07,14:31:41,이체,강남지점,,0,생활비,212247,988428,국민은행,양준석022,142-322-3122,ATM5172,203.0.113.85,6D:AD:B6:F0:6F:1F,,
출금,차미래071,국민은행,191-371-3171,2024-04-27,11:32:03,이체,역삼지점,,0,생활비,631975,11285082,카카오뱅크,장도윤047,167-347-3147,ATM6460,203.0.113.225,57:0F:AC:0E:FD:A1,,
출금,설진우029,국민은행,149-329-3129,2024-01-11,12:50:58,이체,종로지점,,0,생활비,724846,13406084,농협,설진우077,197-377-3177,ATM1543,203.0.113.248,F9:07:75:98:42:AC,,
출금,마준호043,국민은행,163-343-3143,2024-05-30,09:33:15,이체,종로지점,,0,생활비,192624,3719487,토스뱅크,마준호027,147-327-3127,ATM9360,203.0.113.233,F6:3A:BE:25:A0:91,,
출금,마준호075,카카오뱅크,195-375-3175,2024-01-03,13:02:02,이체,여의도지점,,0,피해금,3000000,12355690,우리은행,서유진,109-209-3009,ATM9261,203.0.113.9,D9:C9:F5:32:E7:FD,,
출금,송우진001,국민은행,121-301-3101,2024-06-23,19:51:58,이체,강남지점,,0,생활비,553045,5565328,우리은행,송우진017,137-317-3117,ATM8063,203.0.113.179,A3:3B:E0:32:BF:F2,,
출금,조현우,하나은행,110-210-3010,2024-09-26,17:45:35,이체,강남지점,,0,집금,5000000,7051908,카카오뱅크,정하늘,104-204-3004,ATM8544,203.0.113.235,27:3B:43:08:F5:B2,,
출금,안채원078,국민은행,198-378-3178,2024-02-15,19:53:11,이체,종로지점,,0,생활비,90078,7547712,우리은행,송우진017,137-317-3117,ATM5303,203.0.113.245,6C:AE:19:DC:F7:56,,
출금,홍예린,농협,113-213-3013,2024-07-29,07:55:38,이체,강남지점,,0,집금,1000000,7656978,하나은행,최지훈,103-203-3003,ATM7290,203.0.113.119,DB:33:AD:0D:E8:A8,,
출금,류하준034,토스뱅크,154-334-3134,2024-01-24,10:22:12,이체,역삼지점,,0,생활비,385128,7172240,우리은행,황미경003,123-303-3103,ATM8266,203.0.113.159,4A:8E:9C:7D:EE:49,,
출금,고은비005,카카오뱅크,125-305-3105,2024-09-19,20:01:45,이체,역삼지점,,0,생활비,719772,10649043,농협,도하린042,162-342-3142,ATM9454,203.0.113.103,08:C2:16:93:0E:58,,
출금,설진우029,국민은행,149-329-3129,2024-09-04,10:03:16,이체,강남지점,,0,생활비,90219,13390617,토스뱅크,설진우013,133-313-3113,ATM4510,203.0.113.122,09:2A:3B:A7:CB:E5,,
출금,변서연012,카카오뱅크,132-312-3112,2024-02-23,12:25:17,이체,강남지점,,0,생활비,26487,2692737,신한은행,송우진065,185-365-3165,ATM5088,203.0.113.109,45:1D:3D:71:BB:63,,
출금,장도윤079,신한은행,199-379-3179,2024-07-20,04:28:11,이체,여의도지점,,0,생활비,720048,5739434,신한은행,고은비037,157-337-3137,ATM2710,203.0.113.139,3F:93:44:14:9D:73,,
출금,설진우013,토스뱅크,133-313-3113,2024-01-19,03:06:43,이체,역삼지점,,0,생활비,691837,7632208,카카오뱅크,도하린026,146-326-3126,ATM4493,203.0.113.137,71:2E:2C:E8:53:0F,,
출금,황미경035,농협,155-335-3135,2024-01-15,15:44:36,이체,역삼지점,,0,생활비,79501,5864442,카카오뱅크,설진우061,181-361-3161,ATM3997,203.0.113.114,AE:D7:BB:45:0C:7E,,
출금,권태영,우리은행,116-216-3016,2024-03-06,11:56:48,이체,여의도지점,,0,생활비,286486,8050939,농협,남지연000,120-300-3100,ATM8389,203.0.113.198,5C:E9:E9:81:B9:E4,,
출금,송우진017,우리은행,137-317-3117,2024-02-19,02:42:55,이체,강남지점,,0,생활비,757037,5003899,토스뱅크,양준석006,126-306-3106,ATM1025,203.0.113.142,75:80:7E:EF:58:C9,,
출금,배성호,토스뱅크,112-212-3012,2024-09-04,22:31:30,이체,종로지점,,0,집금,5000000,9800694,카카오뱅크,정하늘,104-204-3004,ATM7569,203.0.113.164,12:6A:70:67:E7:78,,
출금,박민수,우리은행,102-202-3002,2024-01-01,03:04:49,이체,여의도지점,,0,상납,5000000,8857400,신한은행,이영희,101-201-3001,ATM7829,203.0.113.168,93:DC:57:5A:BF:5F,,
출금,변서연060,하나은행,180-360-3160,2024-06-13,08:23:13,이체,강남지점,,0,생활비,562333,12151394,국민은행,노시우057,177-357-3157,ATM6675,203.0.113.113,C2:C4:41:DC:5A:6E,,
출금,권태영,우리은행,116-216-3016,2024-02-21,22:43:13,이체,종로지점,,0,집금,2500000,8383769,우리은행,박민수,102-202-3002,ATM9237,203.0.113.208,AD:55:99:BA:DF:67,,
출금,안채원030,신한은행,150-330-3130,2024-09-23,10:43:44,이체,역삼지점,,0,피해금,500000,5305795,우리은행,권태영,116-216-3016,ATM9972,203.0.113.3,04:22:06:D2:32:35,,
출금,황미경067,하나은행,187-367-3167,2024-05-08,04:51:47,이체,강남지점,,0,생활비,177811,6836347,신한은행,남지연016,136-316-3116,ATM9774,203.0.113.37,D5:40:4D:2A:FF:B6,,
출금,장도윤079,신한은행,199-379-3179,2024-01-25,17:29:17,이체,여의도지점,,0,생활비,715796,13931422,농협,송우진049,169-349-3149,ATM2134,203.0.113.221,4C:4C:70:09:FA:9F,,
출금,서유진,우리은행,109-209-3009,2024-04-26,02:50:42,이체,역삼지점,,0,생활비,477634,10806649,신한은행,송우진065,185-365-3165,ATM5894,203.0.113.210,FD:A8:C4:20:D8:30,,
출금,도하린010,우리은행,130-310-3110,2024-02-17,19:07:56,이체,여의도지점,,0,생활비,584468,4924824,국민은행,차미래071,191-371-3171,ATM1585,203.0.113.83,0F:39:7A:69:51:0B,,
출금,이영희,신한은행,101-201-3001,2024-01-24,17:15:18,이체,강남지점,,0,최종상납,5000000,10780964,국민은행,김철수,100-200-3000,ATM3427,203.0.113.242,8E:44:8A:1A:7F:6B,,
출금,도하린026,카카오뱅크,146-326-3126,2024-07-27,04:24:14,이체,여의도지점,,0,생활비,602446,7909049,신한은행,유태경072,192-372-3172,ATM4010,203.0.113.226,E3:23:2B:1C:E0:7A,,
출금,양준석038,우리은행,158-338-3138,2024-02-22,03:47:49,이체,종로지점,,0,생활비,547784,4295664,농협,남지연000,120-300-3100,ATM2302,203.0.113.95,E0:5B:39:9F:6D:C2,,
