발신인,발신번호,착신인,착신번호,시작일자,시작시간,종료일자,종료시간,통화시간(분),업체명,발신위치,발신종료,비고1,비고2
변서연060,010-8060-1060,송우진049,010-8049-1049,2024-09-23,06:42:12,2024-09-23,06:45:55,3.72,SKT,수원 영통,서울 강남,,
전성호052,010-8052-1052,설진우045,010-8045-1045,2024-03-12,14:49:17,2024-03-12,14:50:36,1.33,LGU+,부산 해운대,부산 해운대,,
배성호,010-1232-1012,양준석070,010-8070-1070,2024-02-17,19:38:50,2024-02-17,19:45:21,6.52,KT,서울 강남,인천 부평,,
김철수,010-1100-1000,이영희,010-1111-1101,2024-04-27,18:14:00,2024-04-27,18:16:12,2.21,LGU+,서울 강남,부산 해운대,,
유태경008,010-8008-1008,황미경051,010-8051-1051,2024-03-20,21:04:09,2024-03-20,21:05:15,1.11,LGU+,인천 부평,서울 영등포,,
장도윤063,010-8063-1063,송우진017,010-8017-1017,2024-07-27,13:23:09,2024-07-27,13:37:23,14.24,SKT,인천 부평,대구 수성,,
안채원014,010-8014-1014,차미래055,010-8055-1055,2024-03-17,07:44:44,2024-03-17,07:46:58,2.24,SKT,인천 부평,대구 수성,,
류하준050,010-8050-1050,유태경024,010-8024-1024,2024-07-20,01:51:59,2024-07-20,02:02:48,10.82,SKT,대구 수성,서울 영등포,,
마준호043,010-8043-1043,차미래023,010-8023-1023,2024-03-14,10:50:23,2024-03-14,11:01:10,10.79,KT,인천 부평,수원 영통,,
변서연012,010-8012-1012,안채원014,010-8014-1014,2024-08-06,00:02:12,2024-08-06,00:18:04,15.87,SKT,부산 해운대,대전 유성,,
양준석054,010-8054-1054,유태경024,010-8024-1024,2024-06-13,15:49:43,2024-06-13,15:50:17,0.57,KT,부산 해운대,서울 강남,,
변서연060,010-8060-1060,고은비053,010-8053-1053,2024-01-14,18:10:35,2024-01-14,18:10:53,0.31,LGU+,대전 유성,수원 영통,,
노시우025,010-8025-1025,노시우057,010-8057-1057,2024-02-28,15:03:59,2024-02-28,15:15:09,11.18,SKT,대구 수성,인천 부평,,
노시우073,010-8073-1073,장도윤015,010-8015-1015,2024-03-03,11:47:40,2024-03-03,11:58:23,10.73,LGU+,인천 부평,서울 서초,,
설진우013,010-8013-1013,설진우045,010-8045-1045,2024-01-05,05:26:30,2024-01-05,05:33:11,6.69,LGU+,서울 서초,서울 영등포,,
전성호036,010-8036-1036,마준호059,010-8059-1059,2024-06-17,11:58:00,2024-06-17,12:09:41,11.69,SKT,부산 해운대,수원 영통,,
마준호043,010-8043-1043,문재혁,010-1254-1214,2024-09-11,23:06:37,2024-09-11,23:07:53,1.27,LGU+,대구 수성,서울 강남,,
도하린058,010-8058-1058,송우진001,010-8001-1001,2024-10-03,13:35:35,2024-10-03,13:45:25,9.84,LGU+,서울 서초,수원 영통,,
설진우045,010-8045-1045,노시우057,010-8057-1057,2024-08-18,23:53:27,2024-08-18,23:59:22,5.92,KT,서울 영등포,서울 영등포,,
송우진001,010-8001-1001,변서연060,010-8060-1060,2024-03-31,16:53:39,2024-03-31,16:53:57,0.3,LGU+,서울 영등포,수원 영통,,
정하늘,010-1144-1004,이영희,010-1111-1101,2024-03-10,14:11:03,2024-03-10,14:11:35,0.54,KT,부산 해운대,수원 영통,,
설진우077,010-8077-1077,유태경056,010-8056-1056,2024-03-31,14:32:41,2024-03-31,14:35:34,2.89,LGU+,대전 유성,서울 영등포,,
황미경035,010-8035-1035,송우진033,010-8033-1033,2024-03-06,07:40:11,2024-03-06,07:43:41,3.5,LGU+,서울 강남,부산 해운대,,
유태경040,010-8040-1040,류하준018,010-8018-1018,2024-05-23,12:48:37,2024-05-23,13:05:55,17.31,SKT,서울 서초,수원 영통,,
변서연044,010-8044-1044,양준석054,010-8054-1054,2024-05-19,10:31:20,2024-05-19,10:32:19,0.99,LGU+,부산 해운대,부산 해운대,,
