name,role,primary_phone,phones,account,bank
김철수,두목,010-1100-1000,010-1100-1000|010-1100-1100,100-200-3000,국민은행
이영희,gate-keeper,010-1111-1001,010-1111-1001|010-1111-1101|010-1111-1201|010-1111-1301,101-201-3001,신한은행
박민수,영업-hub,010-1122-1002,010-1122-1002|010-1122-1102|010-1122-1202,102-202-3002,우리은행
최지훈,영업-hub,010-1133-1003,010-1133-1003|010-1133-1103|010-1133-1203,103-203-3003,하나은행
정하늘,영업-hub,010-1144-1004,010-1144-1004|010-1144-1104|010-1144-1204,104-204-3004,카카오뱅크
오세진,보고-hub,010-1155-1005,010-1155-1005|010-1155-1105|010-1155-1205,105-205-3005,토스뱅크
윤다은,보고-hub,010-1166-1006,010-1166-1006|010-1166-1106|010-1166-1206,106-206-3006,농협
한지우,영업,010-1177-1007,010-1177-1007|010-1177-1107|010-1177-1207,107-207-3007,국민은행
강민재,영업,010-1188-1008,010-1188-1008|010-1188-1108|010-1188-1208,108-208-3008,신한은행
서유진,영업,010-1199-1009,010-1199-1009|010-1199-1109|010-1199-1209,109-209-3009,우리은행
조현우,영업,010-1210-1010,010-1210-1010|010-1210-1110|010-1210-1210,110-210-3010,하나은행
임수빈,영업,010-1221-1011,010-1221-1011|010-1221-1111|010-1221-1211,111-211-3011,카카오뱅크
배성호,영업,010-1232-1012,010-1232-1012|010-1232-1112|010-1232-1212,112-212-3012,토스뱅크
홍예린,영업,010-1243-1013,010-1243-1013|010-1243-1113|010-1243-1213,113-213-3013,농협
문재혁,영업,010-1254-1014,010-1254-1014|010-1254-1114|010-1254-1214,114-214-3014,국민은행
신소희,영업,010-1265-1015,010-1265-1015|010-1265-1115|010-1265-1215,115-215-3015,신한은행
권태영,영업,010-1276-1016,010-1276-1016|010-1276-1116|010-1276-1216,116-216-3016,우리은행
남지연000,일반인,010-8000-1000,010-8000-1000,120-300-3100,농협
송우진001,일반인,010-8001-1001,010-8001-1001,121-301-3101,국민은행
류하준002,일반인,010-8002-1002,010-8002-1002,122-302-3102,신한은행
황미경003,일반인,010-8003-1003,010-8003-1003,123-303-3103,우리은행
전성호004,일반인,010-8004-1004,010-8004-1004,124-304-3104,하나은행
고은비005,일반인,010-8005-1005,010-8005-1005,125-305-3105,카카오뱅크
양준석006,일반인,010-8006-1006,010-8006-1006,126-306-3106,토스뱅크
차미래007,일반인,010-8007-1007,010-8007-1007,127-307-3107,농협
유태경008,일반인,010-8008-1008,010-8008-1008,128-308-3108,국민은행
노시우009,일반인,010-8009-1009,010-8009-1009,129-309-3109,신한은행
도하린010,일반인,010-8010-1010,010-8010-1010,130-310-3110,우리은행
마준호011,일반인,010-8011-1011,010-8011-1011,131-311-3111,하나은행
변서연012,일반인,010-8012-1012,010-8012-1012,132-312-3112,카카오뱅크
설진우013,일반인,010-8013-1013,010-8013-1013,133-313-3113,토스뱅크
안채원014,일반인,010-8014-1014,010-8014-1014,134-314-3114,농협
장도윤015,일반인,010-8015-1015,010-8015-1015,135-315-3115,국민은행
남지연016,일반인,010-8016-1016,010-8016-1016,136-316-3116,신한은행
송우진017,일반인,010-8017-1017,010-8017-1017,137-317-3117,우리은행
류하준018,일반인,010-8018-1018,010-8018-1018,138-318-3118,하나은행
황미경019,일반인,010-8019-1019,010-8019-1019,139-319-3119,카카오뱅크
전성호020,일반인,010-8020-1020,010-8020-1020,140-320-3120,토스뱅크
고은비021,일반인,010-8021-1021,010-8021-1021,141-321-3121,농협
