name,role,phone,active_from,active_to
김철수,두목,010-1100-1000,2024-01-01 00:00:00,2024-05-30 03:01:47
김철수,두목,010-1100-1100,2024-05-30 03:01:47,
이영희,gate-keeper,010-1111-1001,2024-01-01 00:00:00,2024-03-09 07:14:08
이영희,gate-keeper,010-1111-1101,2024-03-09 07:14:08,2024-05-13 21:47:57
이영희,gate-keeper,010-1111-1201,2024-05-13 21:47:57,2024-08-05 02:37:27
이영희,gate-keeper,010-1111-1301,2024-08-05 02:37:27,
박민수,영업-hub,010-1122-1002,2024-01-01 00:00:00,2024-03-25 00:05:13
박민수,영업-hub,010-1122-1102,2024-03-25 00:05:13,2024-07-02 16:38:01
박민수,영업-hub,010-1122-1202,2024-07-02 16:38:01,
최지훈,영업-hub,010-1133-1003,2024-01-01 00:00:00,2024-04-10 06:45:41
최지훈,영업-hub,010-1133-1103,2024-04-10 06:45:41,2024-07-12 13:14:28
최지훈,영업-hub,010-1133-1203,2024-07-12 13:14:28,
정하늘,영업-hub,010-1144-1004,2024-01-01 00:00:00,2024-04-11 08:51:55
정하늘,영업-hub,010-1144-1104,2024-04-11 08:51:55,2024-06-25 05:44:27
정하늘,영업-hub,010-1144-1204,2024-06-25 05:44:27,
오세진,보고-hub,010-1155-1005,2024-01-01 00:00:00,2024-04-03 08:09:13
오세진,보고-hub,010-1155-1105,2024-04-03 08:09:13,2024-07-05 03:05:24
오세진,보고-hub,010-1155-1205,2024-07-05 03:05:24,
윤다은,보고-hub,010-1166-1006,2024-01-01 00:00:00,2024-03-27 11:54:22
윤다은,보고-hub,010-1166-1106,2024-03-27 11:54:22,2024-07-14 08:51:02
윤다은,보고-hub,010-1166-1206,2024-07-14 08:51:02,
한지우,영업,010-1177-1007,2024-01-01 00:00:00,2024-04-07 17:07:59
한지우,영업,010-1177-1107,2024-04-07 17:07:59,2024-07-07 02:35:18
한지우,영업,010-1177-1207,2024-07-07 02:35:18,
강민재,영업,010-1188-1008,2024-01-01 00:00:00,2024-04-13 19:56:55
강민재,영업,010-1188-1108,2024-04-13 19:56:55,2024-07-06 18:12:45
강민재,영업,010-1188-1208,2024-07-06 18:12:45,
서유진,영업,010-1199-1009,2024-01-01 00:00:00,2024-03-26 01:42:14
서유진,영업,010-1199-1109,2024-03-26 01:42:14,2024-07-04 02:54:14
서유진,영업,010-1199-1209,2024-07-04 02:54:14,
조현우,영업,010-1210-1010,2024-01-01 00:00:00,2024-03-27 12:17:29
조현우,영업,010-1210-1110,2024-03-27 12:17:29,2024-07-15 11:10:23
조현우,영업,010-1210-1210,2024-07-15 11:10:23,
임수빈,영업,010-1221-1011,2024-01-01 00:00:00,2024-04-04 06:42:17
임수빈,영업,010-1221-1111,2024-04-04 06:42:17,2024-07-15 02:38:40
임수빈,영업,010-1221-1211,2024-07-15 02:38:40,
배성호,영업,010-1232-1012,2024-01-01 00:00:00,2024-03-29 17:46:15
배성호,영업,010-1232-1112,2024-03-29 17:46:15,2024-06-30 14:24:17
배성호,영업,010-1232-1212,2024-06-30 14:24:17,
홍예린,영업,010-1243-1013,2024-01-01 00:00:00,2024-04-13 22:35:14
홍예린,영업,010-1243-1113,2024-04-13 22:35:14,2024-07-05 01:14:52
홍예린,영업,010-1243-1213,2024-07-05 01:14:52,
